Vaccinium myrtillus;fekete áfonya;augusztus;szeptember;bogyó
Sambucus;bodza ;nyár végén;-;virág
Hedera helix;borostyán ;szeptember;október;virág
Silybum marianum;máriatövis;június;augusztus;levél
Ginkgo biloba;páfrányfenyő ;tavasztól;őszig;levél
Panax;Ginzeng;Január;gyökér
Alii sativi bulbus;fokhagyma;január;gyökér
Equisetum arvense;mezei zsurló;március;április;szára
Oenothera biennis;Ligetszépe;június;termés
Alchemilla monticola;Palástfű;Január;levél
Uvae ursi folium;Medveszőlő levél;szeptember;levél
